Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,2.194494997353953,0.003578230235574671,0.001,S100A9;RALA;GSTO1;ANXA2;CAPZA1;SOD1;STAT4;HNRNPA2B1;TCP1;HNRNPF,wald_stat,Reactome_2022
Interleukin-12 Family Signaling R-HSA-447115,2.107946697555617,0.008498296809489844,0.001,S100A9;RALA;GSTO1;ANXA2;STAT3;CAPZA1;SOD1;STAT1;STAT4;HNRNPA2B1;TCP1;HNRNPF,wald_stat,Reactome_2022
Interleukin-12 Signaling R-HSA-9020591,2.062069965797488,0.011927434118582237,0.001,S100A9;RALA;GSTO1;ANXA2;CAPZA1;SOD1;STAT4;HNRNPA2B1;TCP1;HNRNPF,wald_stat,Reactome_2022
CD28 Co-Stimulation R-HSA-389356,-1.970301865321583,0.11515320298180735,0.001,PKN1;MAP3K8;AKT1;YES1;ARHGEF7;CDC42;PIK3R1;MLST8;FYN;PRR5;MAPKAP1;PKN2,wald_stat,Reactome_2022
Cargo Concentration In ER R-HSA-5694530,1.900442420711548,0.07491919555734468,0.001,MIA3;MCFD2;CTSZ;SEC22B;CNIH1;LMAN1;PREB;CD59;SEC23A,wald_stat,Reactome_2022
"Transport Of Bile Salts And Organic Acids, Metal Ions And Amine Compounds R-HSA-425366",1.8878161492755128,0.0697754895937061,0.001,SLC39A8;SLC44A1;SLC6A6;SLC16A3;SLC39A6;SLC11A2;SLC44A2;EMB,wald_stat,Reactome_2022
Diseases Associated With TLR Signaling Cascade R-HSA-5602358,1.8864719569831843,0.05844442718105296,0.001,S100A8;S100A9;TICAM1;IRAK4;NFKB2;NFKB1;NFKBIA,wald_stat,Reactome_2022
Metal Ion SLC Transporters R-HSA-425410,1.8744653744905189,0.05763506558014917,0.0019569471624266144,SLC39A8;SLC39A6;SLC11A2,wald_stat,Reactome_2022
G0 And Early G1 R-HSA-1538133,1.7433070415231302,0.19523718722854297,0.012048192771084338,HDAC1;MAX;RBL2;MYC;RBBP4;TFDP1,wald_stat,Reactome_2022
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1.7139719082126357,0.22155208875266502,0.005847953216374269,JUN;LMNA;PRDX1;PRDX2;CDC25B;CDKN2A;GOLGA2;BCL2L11,wald_stat,Reactome_2022
