Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,TNF-alpha Signaling via NF-kB,-0.4584276602684819,-2.3751334053155153,1.000000e-03,1.000000e-03,1.000000e-03,46/143,13.62%,MAP3K8;DUSP2;MAFF;IER3;GADD45B;REL;EGR1;B4GALT1;IL7R;BIRC2;TGIF1;ATP2B1;GPR183;IER2;CD69;SAT1;IRS2;CFLAR;NFKBIA;CD44;ID2;GCH1;TIPARP;FOSL2;NFE2L2;KLF10;PDE4B;ZC3H12A;TNFRSF9;DUSP4;TRAF1;PFKFB3;IRF1;ZFP36;DRAM1;PMEPA1;KDM6B;EIF1;BHLHE40;SOCS3;IFIT2;BCL2A1;ICAM1;IL15RA;BIRC3;NFKB2
prerank,Apical Surface,-0.5317558134240229,-1.730969412312126,3.056769e-02,3.639798e-02,1.743590e-02,7/19,12.07%,CRYBG1;B4GALT1;GATA3;IL2RB;IL2RG;CD160;MDGA1
prerank,Estrogen Response Late,-0.3477677414653581,-1.634299003199353,1.000000e-03,4.139379e-02,2.974359e-02,22/83,9.79%,DUSP2;SLC7A5;PPIF;JAK1;FABP5;CLIC3;PDCD4;RNASEH2A;CHPT1;CD44;ID2;SLC22A5;GALE;DYNLT3;NRIP1;LSR;AFF1;IGFBP4;NXT1;DNAJC1;UGDH;ZFP36
prerank,Hedgehog Signaling,0.5633113100208663,1.4999552146510389,3.337784e-02,2.323416e-01,2.830000e-01,8/17,26.04%,ADGRG1;PTCH1;NF1;MYH9;TLE3;TLE1;OPHN1;DPYSL2
prerank,Inflammatory Response,-0.3062341389386635,-1.4777247440850638,1.000000e-03,7.707809e-02,7.179487e-02,27/108,14.41%,IL7R;ATP2B1;GPR183;RGS1;SELL;IL18RAP;CD69;IL2RB;TAPBP;NFKBIA;GCH1;IL18R1;CD55;GNAI3;PDE4B;TIMP1;LTA;TNFRSF9;IRF1;IL4R;RGS16;ICAM1;IL15RA;CD70;BEST1;LY6E;ADRM1
prerank,Estrogen Response Early,-0.2937762372636626,-1.4079803797623838,1.639344e-02,9.848866e-02,1.087179e-01,36/94,19.24%,SLC7A5;B4GALT1;PPIF;CLIC3;CHPT1;ELF1;ABLIM1;CD44;SLC22A5;PMAIP1;DYNLT3;TIPARP;NRIP1;AFF1;KLF10;IGFBP4;NXT1;UNC119;BHLHE40;DHRS3;TIAM1;IGF1R;FASN;SNX24;SVIL;RRP12;ELOVL5;FLNB;ADCY9;SYNGR1;MICB;TBC1D30;SLC2A1;RARA;SLC1A4;NADSYN1
prerank,UV Response Dn,0.3928997011403355,1.3671644026554814,3.118280e-02,5.562117e-01,7.840000e-01,36/89,30.24%,RUNX1;PDGFRB;MAPK14;ADD3;GRK5;CDK13;MTA1;MT1E;ERBB2;PTPRM;WDR37;BCKDHB;PEX14;TOGARAM1;CDKN1B;NR1D2;PIK3R3;SPOP;CITED2;SCAF8;PDLIM5;ATP2C1;MGMT;MAP2K5;DMAC2L;NEK7;BMPR1A;SLC22A18;AKT3;ANXA2;SYNJ2;GCNT1;ATP2B4;DBP;MIOS;SRI
prerank,IL-2/STAT5 Signaling,-0.26141998846006914,-1.3290807946082155,1.000000e-03,1.477330e-01,1.835897e-01,24/133,8.49%,MAP3K8;SOCS1;MAFF;GADD45B;IFNGR1;ITGAE;SELL;ABCB1;SLC1A5;IL2RB;HOPX;CD44;NFKBIZ;CD81;IL18R1;IFITM3;GPR65;HUWE1;IRF8;SNX9;P4HA1;PDCD2L;TNFRSF9;TRAF1
prerank,Pperoxisome,0.379107377469896,1.2994124455441147,8.096280e-02,7.237792e-01,9.450000e-01,24/76,21.92%,SOD2;ACOT8;RDH11;ALDH9A1;ABCD3;SLC35B2;HMGCL;ACAA1;FDPS;SOD1;CNBP;PEX14;PEX11B;SCP2;CADM1;PEX2;MLYCD;GNPAT;ERCC3;ACSL5;CDK7;HSD17B11;ACSL4;ABCC5
prerank,Myc Targets V1,-0.2561921905682087,-1.2891105038263138,4.000000e-02,1.743433e-01,2.492308e-01,66/185,18.69%,U2AF1;EEF1B2;HSPD1;HSPE1;NME1;GOT2;SNRPD1;YWHAE;EIF3J;TRA2B;RSL1D1;ACP1;TYMS;SNRPB2;PSMA1;SF3A1;SRSF2;NPM1;SET;PABPC1;SRSF7;HNRNPA1;MRPL9;DUT;MCM4;MCM2;SNRPD2;USP1;EPRS1;ETF1;APEX1;H2AZ1;RAN;RNPS1;LSM7;IFRD1;PSMA4;ILF2;HSP90AB1;VBP1;TRIM28;PCBP1;CYC1;LDHA;ERH;BUB3;EIF4A1;SSBP1;VDAC1;SNRPG;RANBP1;C1QBP;SRSF3;SERBP1;VDAC3;KPNA2;PSMD8;CANX;EIF4E;RACK1;NAP1L1;HNRNPU;PSMA2;EXOSC7;SRM;PSMD7
