Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Protein export,-1.7994398748194214,0.1695011822351366,0.00425531914893617,SEC61G;SRP9;SRP68;SRPRB;SEC61A1;SRP19;SEC63;HSPA5;SPCS2,wald_stat,KEGG_2021_Human
Hematopoietic cell lineage,-1.7572207947785095,0.1296185511209868,0.001,CD7;HLA-DRB5;IL7R;CD44;CD55;CD3E;IL4R;CD38;CD2;HLA-DRB1;CD5;CD8B;ITGB3;ITGA6,wald_stat,KEGG_2021_Human
Viral protein interaction with cytokine and cytokine receptor,-1.74774549202961,0.09040063052540619,0.001,XCL1;XCL2;IL18RAP;IL2RB;IL18R1;IL2RG;TNFSF14;LTA,wald_stat,KEGG_2021_Human
Spliceosome,-1.7317321465014015,0.07627553200581148,0.001,U2AF1;MAGOH;SRSF5;SNW1;SNRNP27;SF3B6;HNRNPM;SNRPD1;HNRNPA1L2;TRA2B;SNRPB2;SYF2;SRSF9;SF3A1;SRSF2;SRSF6;LSM4;SNRPF;SRSF10;PRPF18;CWC15;SRSF7;HNRNPA1;SNU13;SNRPD2;RP9;LSM7;U2SURP;SF3B2;CCDC12;PCBP1;HNRNPK;PHF5A;SLU7;RBMXL1;PQBP1;DDX5;SNRPG;SNRNP40;ALYREF;SF3B1;BUD31;SRSF3;PPIE;WBP11;SNRPC;DDX46,wald_stat,KEGG_2021_Human
Bladder cancer,1.6541438853313226,0.5455775704969343,0.003676470588235294,DAPK2;CDK4;ERBB2;CDKN2A;TP53;ARAF;KRAS;THBS1;BRAF;RAF1,wald_stat,KEGG_2021_Human
Nucleotide excision repair,1.6078925956460766,0.4904212173667584,0.00468384074941452,ERCC6;RFC2;ERCC5;DDB2;ERCC4;RFC4;CCNH;RAD23B;RPA2;GTF2H3;GTF2H5;RBX1;GTF2H4;ERCC3;LIG1;CDK7,wald_stat,KEGG_2021_Human
Legionellosis,-1.603433538857271,0.1687035296128536,0.001,HBS1L;ARF1;SAR1A;EEF1G;HSPD1;RAB1A;NFKBIA,wald_stat,KEGG_2021_Human
"Valine, leucine and isoleucine degradation",1.5850961533130146,0.4244331256373748,0.007067137809187279,MCCC2;ALDH9A1;HMGCL;ACAA1;BCKDHB;PCCB;HADH;AUH;ACAT1;ACSF3;ACADSB;MCEE;PCCA;AACS;OXCT1;HADHA,wald_stat,KEGG_2021_Human
Antigen processing and presentation,-1.579573185804439,0.16152465601230664,0.001,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;HLA-DRB5;CTSS;TAPBP;PDIA3;KIR2DL3;KLRC2;HLA-B;HSP90AB1;CALR;HSPA5,wald_stat,KEGG_2021_Human
Biosynthesis of unsaturated fatty acids,1.5413569239779614,0.5265507665101683,0.035856573705179286,SCD5;ACOT4;ACAA1;HACD2;SCP2;TECR;HACD3,wald_stat,KEGG_2021_Human
