donor_id,age_group,assay,bright_cells,dim_cells,total_cells,ratio,bright_percent,dim_percent
AA220014,old,10x 5' v1,0,247,247,0.0,0.0,100.0
AA220534,adult,10x 5' v1,0,292,292,0.0,0.0,100.0
CONTROL4,adult,10x 5' v1,67,350,417,0.19142857142857142,16.06714628297362,83.93285371702638
CONTROL5,adult,10x 5' v1,26,193,219,0.13471502590673576,11.87214611872146,88.12785388127854
CONTROL7,adult,10x 5' v1,52,423,475,0.12293144208037825,10.947368421052632,89.05263157894737
CV0902,adult,10x 3' transcription profiling,134,678,812,0.1976401179941003,16.502463054187192,83.49753694581281
CV0904,adult,10x 3' transcription profiling,109,509,618,0.21414538310412573,17.637540453074433,82.36245954692556
CV0911,adult,10x 3' transcription profiling,44,541,585,0.08133086876155268,7.521367521367521,92.47863247863248
CV0926,old,10x 3' transcription profiling,38,263,301,0.1444866920152091,12.624584717607974,87.37541528239203
HDML,adult,10x 5' v1,45,616,661,0.07305194805194805,6.80786686838124,93.19213313161876
IM000040,adult,10x 5' v1,0,203,203,0.0,0.0,100.0
JP_RIK_H015,old,10x 5' v2,1,208,209,0.004807692307692308,0.4784688995215311,99.52153110047847
JP_RIK_H022,adult,10x 5' v2,18,190,208,0.09473684210526316,8.653846153846153,91.34615384615384
JP_RIK_H026,adult,10x 5' v2,4,255,259,0.01568627450980392,1.5444015444015444,98.45559845559846
JP_RIK_H030,adult,10x 5' v2,14,247,261,0.05668016194331984,5.363984674329502,94.6360153256705
JP_RIK_H041,adult,10x 5' v2,2,240,242,0.008333333333333333,0.8264462809917356,99.17355371900827
JP_RIK_H044,adult,10x 5' v2,5,269,274,0.01858736059479554,1.824817518248175,98.17518248175182
JP_RIK_H047,adult,10x 5' v2,6,225,231,0.02666666666666667,2.5974025974025974,97.40259740259741
JP_RIK_H062,adult,10x 5' v2,11,280,291,0.039285714285714285,3.7800687285223367,96.21993127147766
JP_RIK_H070,adult,10x 5' v2,4,245,249,0.0163265306122449,1.6064257028112447,98.39357429718876
JP_RIK_H074,adult,10x 5' v2,4,201,205,0.01990049751243781,1.951219512195122,98.04878048780488
JP_RIK_H082,old,10x 5' v2,7,264,271,0.026515151515151516,2.5830258302583027,97.41697416974169
JP_RIK_H088,adult,10x 5' v2,8,235,243,0.03404255319148936,3.292181069958848,96.70781893004116
JP_RIK_H089,adult,10x 5' v2,3,276,279,0.010869565217391304,1.0752688172043012,98.9247311827957
JP_RIK_H096,adult,10x 5' v2,8,428,436,0.018691588785046728,1.834862385321101,98.1651376146789
JP_RIK_H097,adult,10x 5' v2,14,456,470,0.03070175438596491,2.9787234042553195,97.02127659574468
JP_RIK_H104,adult,10x 5' v2,6,247,253,0.024291497975708502,2.371541501976284,97.62845849802372
JP_RIK_H106,adult,10x 5' v2,8,204,212,0.0392156862745098,3.7735849056603774,96.22641509433963
JP_RIK_H114,adult,10x 5' v2,10,195,205,0.05128205128205128,4.878048780487805,95.1219512195122
JP_RIK_H120,adult,10x 5' v2,8,210,218,0.0380952380952381,3.669724770642202,96.3302752293578
JP_RIK_H122,adult,10x 5' v2,5,238,243,0.02100840336134454,2.05761316872428,97.94238683127571
JP_RIK_H124,adult,10x 5' v2,2,197,199,0.01015228426395939,1.0050251256281406,98.99497487437185
JP_RIK_H135,adult,10x 5' v2,3,272,275,0.011029411764705883,1.090909090909091,98.9090909090909
JP_RIK_H136,adult,10x 5' v2,0,548,548,0.0,0.0,100.0
JP_RIK_H138,adult,10x 5' v2,1,490,491,0.0020408163265306124,0.20366598778004072,99.79633401221996
JP_RIK_H139,adult,10x 5' v2,5,276,281,0.018115942028985508,1.7793594306049825,98.22064056939502
JP_RIK_H140,adult,10x 5' v2,2,195,197,0.010256410256410256,1.015228426395939,98.98477157360406
JP_RIK_H143,adult,10x 5' v2,3,354,357,0.00847457627118644,0.8403361344537815,99.15966386554622
JP_RIK_H145,adult,10x 5' v2,6,252,258,0.023809523809523808,2.3255813953488373,97.67441860465115
KR_SGI_H001,adult,10x 5' v2,3,258,261,0.011627906976744186,1.1494252873563218,98.85057471264368
KR_SGI_H004,adult,10x 5' v2,1,179,180,0.00558659217877095,0.5555555555555556,99.44444444444444
KR_SGI_H013,adult,10x 5' v2,11,500,511,0.022,2.152641878669276,97.84735812133071
KR_SGI_H020,adult,10x 5' v2,21,264,285,0.07954545454545454,7.368421052631578,92.63157894736842
KR_SGI_H022,adult,10x 5' v2,2,456,458,0.0043859649122807015,0.43668122270742354,99.56331877729258
KR_SGI_H023,adult,10x 5' v2,10,304,314,0.03289473684210526,3.1847133757961785,96.81528662420382
KR_SGI_H028,adult,10x 5' v2,4,280,284,0.014285714285714285,1.4084507042253522,98.59154929577466
KR_SGI_H032,adult,10x 5' v2,5,280,285,0.017857142857142856,1.7543859649122806,98.24561403508771
KR_SGI_H033,adult,10x 5' v2,7,208,215,0.03365384615384615,3.255813953488372,96.74418604651163
KR_SGI_H034,adult,10x 5' v2,2,312,314,0.00641025641025641,0.6369426751592357,99.36305732484077
KR_SGI_H036,adult,10x 5' v2,12,376,388,0.031914893617021274,3.0927835051546393,96.90721649484536
KR_SGI_H037,adult,10x 5' v2,4,261,265,0.01532567049808429,1.509433962264151,98.49056603773585
KR_SGI_H039,adult,10x 5' v2,16,229,245,0.06986899563318777,6.530612244897959,93.46938775510203
KR_SGI_H041,adult,10x 5' v2,7,475,482,0.014736842105263158,1.4522821576763485,98.54771784232366
KR_SGI_H043,adult,10x 5' v2,2,238,240,0.008403361344537815,0.8333333333333334,99.16666666666667
KR_SGI_H047,adult,10x 5' v2,6,236,242,0.025423728813559324,2.479338842975207,97.52066115702479
KR_SGI_H048,adult,10x 5' v2,16,287,303,0.05574912891986063,5.2805280528052805,94.71947194719472
KR_SGI_H049,adult,10x 5' v2,3,564,567,0.005319148936170213,0.5291005291005291,99.47089947089947
KR_SGI_H052,adult,10x 5' v2,7,467,474,0.014989293361884369,1.4767932489451476,98.52320675105484
KR_SGI_H055,adult,10x 5' v2,10,384,394,0.026041666666666668,2.5380710659898478,97.46192893401016
KR_SGI_H060,adult,10x 5' v2,11,327,338,0.03363914373088685,3.2544378698224854,96.7455621301775
KR_SGI_H062,adult,10x 5' v2,10,183,193,0.0546448087431694,5.181347150259067,94.81865284974094
KR_SGI_H065,adult,10x 5' v2,21,312,333,0.0673076923076923,6.306306306306306,93.69369369369369
KR_SGI_H066,adult,10x 5' v2,4,198,202,0.020202020202020204,1.9801980198019802,98.01980198019803
KR_SGI_H071,old,10x 5' v2,10,584,594,0.017123287671232876,1.6835016835016834,98.31649831649831
KR_SGI_H074,adult,10x 5' v2,7,539,546,0.012987012987012988,1.282051282051282,98.71794871794873
KR_SGI_H078,adult,10x 5' v2,11,432,443,0.02546296296296296,2.4830699774266365,97.51693002257336
KR_SGI_H079,old,10x 5' v2,4,269,273,0.01486988847583643,1.465201465201465,98.53479853479854
KR_SGI_H081,adult,10x 5' v2,1,269,270,0.0037174721189591076,0.3703703703703704,99.62962962962963
KR_SGI_H083,adult,10x 5' v2,0,404,404,0.0,0.0,100.0
KR_SGI_H087,adult,10x 5' v2,6,490,496,0.012244897959183673,1.2096774193548387,98.79032258064517
KR_SGI_H088,adult,10x 5' v2,10,209,219,0.04784688995215311,4.5662100456621,95.4337899543379
KR_SGI_H091,adult,10x 5' v2,16,205,221,0.07804878048780488,7.239819004524888,92.76018099547511
KR_SGI_H092,adult,10x 5' v2,16,171,187,0.0935672514619883,8.55614973262032,91.44385026737967
KR_SGI_H093,old,10x 5' v2,5,191,196,0.02617801047120419,2.5510204081632653,97.44897959183673
KR_SGI_H095,adult,10x 5' v2,8,308,316,0.025974025974025976,2.5316455696202533,97.46835443037975
KR_SGI_H096,adult,10x 5' v2,20,183,203,0.1092896174863388,9.852216748768473,90.14778325123153
KR_SGI_H097,adult,10x 5' v2,14,365,379,0.038356164383561646,3.6939313984168867,96.30606860158312
KR_SGI_H100,adult,10x 5' v2,1,1371,1372,0.0007293946024799417,0.0728862973760933,99.9271137026239
KR_SGI_H101,adult,10x 5' v2,12,341,353,0.03519061583577713,3.39943342776204,96.60056657223795
KR_SGI_H102,adult,10x 5' v2,1,1037,1038,0.0009643201542912247,0.09633911368015415,99.90366088631984
KR_SGI_H103,adult,10x 5' v2,7,618,625,0.011326860841423949,1.1199999999999999,98.88
KR_SGI_H104,adult,10x 5' v2,6,185,191,0.032432432432432434,3.1413612565445024,96.8586387434555
KR_SGI_H113,old,10x 5' v2,5,274,279,0.01824817518248175,1.7921146953405016,98.2078853046595
KR_SGI_H114,adult,10x 5' v2,3,415,418,0.007228915662650603,0.7177033492822966,99.28229665071771
KR_SGI_H115,adult,10x 5' v2,5,380,385,0.013157894736842105,1.2987012987012987,98.7012987012987
KR_SGI_H117,adult,10x 5' v2,12,265,277,0.045283018867924525,4.332129963898916,95.66787003610109
KR_SGI_H118,adult,10x 5' v2,5,195,200,0.02564102564102564,2.5,97.5
KR_SGI_H119,old,10x 5' v2,1,311,312,0.003215434083601286,0.3205128205128205,99.67948717948718
KR_SGI_H120,adult,10x 5' v2,0,282,282,0.0,0.0,100.0
KR_SGI_H122,adult,10x 5' v2,0,237,237,0.0,0.0,100.0
KR_SGI_H125,adult,10x 5' v2,4,373,377,0.010723860589812333,1.0610079575596816,98.93899204244032
KR_SGI_H126,adult,10x 5' v2,12,942,954,0.012738853503184714,1.257861635220126,98.74213836477988
KR_SGI_H127,old,10x 5' v2,5,545,550,0.009174311926605505,0.9090909090909091,99.0909090909091
KR_SGI_H128,old,10x 5' v2,3,261,264,0.011494252873563218,1.1363636363636365,98.86363636363636
KR_SGI_H129,old,10x 5' v2,0,266,266,0.0,0.0,100.0
KR_SGI_H132,old,10x 5' v2,0,405,405,0.0,0.0,100.0
KR_SGI_H134,adult,10x 5' v2,13,218,231,0.05963302752293578,5.627705627705628,94.37229437229438
KR_SGI_H136,adult,10x 5' v2,4,384,388,0.010416666666666666,1.0309278350515463,98.96907216494846
KR_SGI_H137,adult,10x 5' v2,4,346,350,0.011560693641618497,1.1428571428571428,98.85714285714286
