Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Oxidative Phosphorylation,141/200,2.7772295611509942e-27,1.3886147805754974e-25,0,0,4.891081026807253,299.0815034020628,ISCA1;MTRR;ECI1;COX6A1;PHB2;MTRF1;MPC1;PMPCA;ATP6V1E1;ACAA1;PDHX;CPT1A;ATP6V0E1;ECH1;SDHC;SDHD;SDHA;ATP1B1;COX6B1;AFG3L2;OXA1L;COX7A2L;POR;UQCRC1;VDAC2;RETSAT;ABCB7;COX15;MGST3;COX17;ATP5MC3;HTRA2;COX7A2;UQCRH;ATP5MC1;TIMM50;PRDX3;LDHB;RHOT2;CYB5R3;RHOT1;GRPEL1;NDUFV2;NDUFV1;ATP5MG;ATP6V1C1;ATP5MF;COX10;DECR1;ATP6V1F;ATP5ME;HSPA9;PDHA1;GOT2;ACADSB;CS;GLUD1;ALDH6A1;UQCRQ;OGDH;CYCS;ACO2;GPI;COX7B;SLC25A3;ACADVL;ALAS1;MRPS11;MRPS12;ETFA;TCIRG1;MRPL34;CASP7;AIFM1;OPA1;TIMM17A;UQCRFS1;DLAT;IDH3A;COX8A;TOMM70;ATP6V0B;ATP6AP1;MRPS22;NDUFC2;NDUFC1;HADHB;SUPV3L1;HADHA;BDH2;NDUFS8;NDUFS7;NDUFS6;NDUFS2;NDUFS1;SLC25A12;DLD;SLC25A11;FH;NDUFB8;ECHS1;NDUFB7;TIMM9;NDUFB4;NDUFB3;TIMM13;NDUFB2;DLST;NDUFB1;UQCR11;UQCR10;MRPS30;PDHB;COX5B;COX5A;HSD17B10;ATP5F1A;ATP5F1B;MFN2;POLR2F;SLC25A20;TIMM8B;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ATP5PB;MTX2;MDH2;NDUFA4;NDUFA3;NDUFA2;NDUFA1;IMMT;COX6C;ATP5F1D;ATP5F1E;PDP1;SUCLA2;BAX
MSigDB_Hallmark_2020,Myc Targets V1,137/200,1.3216095244706264e-24,3.304023811176566e-23,0,0,4.446516748069877,244.4836836515857,HDDC2;HNRNPU;HNRNPR;PWP1;PHB2;UBE2L3;RRP9;EEF1B2;FBL;PSMD7;TRIM28;PSMD3;PSMD1;TXNL4A;KPNA2;SMARCC1;STARD7;EIF1AX;IFRD1;MRPS18B;ILF2;CLNS1A;SRSF2;SRSF3;ERH;HPRT1;PPIA;SRSF7;SNRPA;KPNB1;SET;PSMD14;CSTF2;CUL1;NOLC1;GSPT1;PRDX3;PCBP1;G3BP1;ORC2;PGK1;XRCC6;NOP16;GOT2;MRPL23;EIF2S1;SRPK1;AIMP2;LSM7;EPRS1;CDK4;HNRNPD;UBA2;HNRNPC;EIF4G2;YWHAE;SLC25A3;HSP90AB1;MCM7;SYNCRIP;XPO1;YWHAQ;C1QBP;RACK1;DHX15;AP3S1;TOMM70;CCT2;RFC4;NCBP1;PABPC4;CAD;CTPS1;RAD23B;PSMA6;PSMA4;TFDP1;PSMA1;PSMA2;CANX;TCP1;MCM4;SNRPA1;MCM5;ETF1;PABPC1;MCM6;PRPS2;HDAC2;SF3B3;ODC1;SRSF1;DDX21;U2AF1;COX5A;PSMA7;HSPD1;SRM;PPM1G;EXOSC7;PSMB2;PSMB3;FAM120A;POLD2;USP1;EIF4H;SNRPB2;BUB3;IARS1;CCT7;HNRNPA1;EIF4E;CCT4;RANBP1;NPM1;SF3A1;DUT;HNRNPA3;RRM1;SSB;PTGES3;CNBP;NAP1L1;HSPE1;RSL1D1;PSMC6;XPOT;APEX1;IMPDH2;HNRNPA2B1;SERBP1;HDGF;TARDBP;ABCE1;EIF3D;RAN;EIF3B
MSigDB_Hallmark_2020,mTORC1 Signaling,133/200,4.344180482199751e-22,7.24030080366625e-21,0,0,4.05526310356929,199.47042313449865,ERO1A;TES;TFRC;PITPNB;TMEM97;RRP9;FADS2;PNP;TBK1;FADS1;PDK1;STARD4;G6PD;IFRD1;ACSL3;TUBA4A;SYTL2;ACLY;DDX39A;MTHFD2;PPA1;DDIT3;PSME3;MTHFD2L;TRIB3;HPRT1;SQSTM1;PPIA;IDI1;NUP205;PSMD12;PSMD14;SHMT2;INSIG1;RPN1;GMPS;PIK3R3;SLC1A4;SLC1A5;ADIPOR2;HSP90B1;ATP5MC1;STIP1;EBP;PGK1;SSR1;LTA4H;HSPA9;NIBAN1;XBP1;SDF2L1;HSPA5;GOT1;PNO1;HSPA4;SRD5A1;EDEM1;ASNS;DHCR24;DHFR;MLLT11;CCT6A;QDPR;SQLE;SLC6A6;GCLC;EPRS1;P4HA1;BHLHE40;NMT1;CALR;DHCR7;NFKBIB;GPI;GSK3B;BTG2;GBE1;ITGB2;SLC2A1;ATP2A2;SLC2A3;CTSC;PGM1;ACTR3;ACTR2;TPI1;HMGCS1;ELOVL5;ELOVL6;UCHL5;SLC7A5;PSMA4;CANX;MCM4;ETF1;ALDOA;EEF1E1;PPP1R15A;RAB1A;TOMM40;NUFIP1;USO1;CXCR4;GLRX;HMGCR;ADD3;UNG;HSPD1;GGA2;PSMB5;NFIL3;SC5D;ABCF2;YKT6;LDLR;SEC11A;CYB5B;RRM2;NFYC;TXNRD1;GSR;CYP51A1;RPA1;IMMT;PDAP1;GTF2H1;HSPE1;RIT1;UFM1;PFKL;PSMC6;CCNG1;TCEA1
MSigDB_Hallmark_2020,Unfolded Protein Response,82/113,1.1200256403589294e-17,1.4000320504486621e-16,0,0,5.376235870495528,209.8376849001713,EIF4A2;ERO1A;H2AX;EIF4A3;RRP9;EDC4;TATDN2;KHSRP;KIF5B;MTREX;BANF1;TSPYL2;SLC30A5;DDX10;PDIA6;YWHAZ;ARFGAP1;DNAJC3;SLC7A5;MTHFD2;DKC1;GEMIN4;PREB;ATP6V0D1;ATF6;TARS1;ATF3;DCP2;EXOC2;ATF4;CEBPB;SHC1;DCTN1;CEBPG;PARN;CXXC1;NOLC1;SLC1A4;SDAD1;HSP90B1;EXOSC5;EXOSC4;EXOSC10;EXOSC9;SSR1;DNAJB9;IARS1;EXOSC2;EIF4E;SEC11A;EXOSC1;SEC31A;PAIP1;HSPA9;ZBTB17;XBP1;NOP14;NPM1;HSPA5;NFYA;NFYB;EDEM1;EIF2AK3;LSM1;ASNS;EEF2;EIF2S1;LSM4;CNOT4;SPCS3;CNOT6;XPOT;DNAJA4;CNOT2;SRPRA;SRPRB;NABP1;HYOU1;CALR;ALDH18A1;DCP1A;EIF4G1
MSigDB_Hallmark_2020,Protein Secretion,70/96,1.7840227053240097e-15,1.7840227053240096e-14,0,0,5.46411427233345,185.56080505983832,ARF1;CLTC;CLTA;RAB22A;GOLGA4;SCRN1;AP1G1;LAMP2;TMED2;KIF1B;ARFIP1;AP3S1;ATP7A;DNM1L;AP2M1;CTSC;RAB2A;TPD52;STX7;COG2;ADAM10;AP3B1;SCAMP1;ARFGAP3;SCAMP3;TMX1;ZW10;VAMP4;VAMP3;NAPA;COPB2;STX12;CD63;TMED10;TSG101;SGMS1;STX16;COPB1;VPS4B;USO1;ATP1A1;CLCN3;NAPG;LMAN1;SNX2;AP2S1;MAPK1;YKT6;SEC31A;ARFGEF1;ARFGEF2;MON2;BNIP3;GBF1;AP2B1;STAM;IGF2R;ARCN1;GALC;RAB14;DOP1A;PPT1;GNAS;ANP32E;VPS45;SEC24D;PAM;RAB5A;COPE;BET1
MSigDB_Hallmark_2020,DNA Repair,96/150,9.962729020526211e-15,8.302274183771843e-14,0,0,3.614778592773703,116.54019203407135,FEN1;ARL6IP1;ELL;MPG;GTF2B;CETN2;POLB;SEC61A1;PNP;CLP1;GUK1;PDE4B;REV3L;ELOA;DGCR8;TMED2;NELFB;POLL;POLH;RFC5;RFC4;LIG1;NME4;EDF1;VPS37B;GTF2F1;RBX1;NT5C3A;DDB1;RRM2B;NFX1;BOLA2;POLR1C;CMPK2;HCLS1;HPRT1;UMPS;EIF1B;VPS28;POM121;RALA;TSG101;CANT1;GTF3C5;CSTF3;PRIM1;USP11;GMPR2;DCTN4;COX17;TAF9;SUPT4H1;AK3;XPC;AAAS;POLD3;DGUOK;ZNF707;POLR2A;TAF1C;POLR2C;POLR2D;POLR2F;POLR2G;POLR2I;POLR2J;RAE1;POLR2K;SF3A3;BCAP31;DUT;BRF2;TAF12;TAF13;ALYREF;TAF10;RPA2;GTF2H1;SSRP1;SUPT5H;GTF2H3;SMAD5;TARBP2;GTF2H5;POLE4;NUDT9;POLA1;NUDT21;POLA2;ERCC3;AGO4;POLR3C;ERCC4;IMPDH2;ERCC5;TAF6
MSigDB_Hallmark_2020,Interferon Gamma Response,117/200,1.546680506709965e-13,1.104771790507118e-12,0,0,2.869196854873118,84.63412040595311,SAMD9L;SPPL2A;UBE2L6;IFI35;IFIT2;ICAM1;MT2A;PNP;PIM1;TRIM25;TRIM26;TRIM21;B2M;CMTR1;HERC6;CMKLR1;ZBP1;IL4R;SP110;HLA-B;TAP1;TRAFD1;ARID5B;HLA-A;NUP93;MTHFD2;PSME1;TRIM14;PSME2;TXNIP;CMPK2;LAP3;LY6E;DDX60;HIF1A;RNF213;SOCS1;ST8SIA4;ISOC1;SLAMF7;RIPK1;PNPT1;AUTS2;EIF2AK2;ISG15;TDRD7;PARP14;TOR1B;PARP12;NFKB1;BST2;NFKBIA;XAF1;GPR18;MYD88;OGFR;BTG1;EIF4E3;TNFAIP3;ADAR;IL18BP;OASL;IFIH1;CASP7;CASP8;CASP3;CASP4;CASP1;PDE4B;CD38;ITGB7;JAK2;RIPK2;NCOA3;BPGM;TAPBP;VAMP8;LATS2;PSMA2;OAS2;IRF4;IRF1;XCL1;LCP2;RAPGEF6;VAMP5;IRF9;RNF31;MVP;NLRC5;NOD1;SRI;SAMHD1;PSMB10;APOL6;SLC25A28;PSMB2;CCL5;STAT4;GBP4;PTPN1;GCH1;STAT1;STAT2;IL10RA;MX2;GZMA;STAT3;LYSMD2;PML;PSMB9;ZNFX1;IL2RB;FAS;CD69;PTPN2;PFKP
MSigDB_Hallmark_2020,G2-M Checkpoint,112/200,2.439447869592959e-11,1.5246549184955994e-10,0,0,2.587566844919786,63.23150232290335,JPT1;CCNT1;HNRNPU;ARID4A;SMC4;MT2A;PTTG1;KIF5B;CDC27;FBXO5;KMT5A;KPNA2;HMGN2;TMPO;SMARCC1;SLC38A1;HUS1;LIG3;PRPF4B;CDC25B;SAP30;ILF3;DDX39A;EWSR1;DKC1;NCL;SRSF2;NUP98;KIF20B;ATF5;KPNB1;NOTCH2;CUL5;YTHDC1;CUL3;CUL1;NOLC1;PDS5B;HIF1A;GSPT1;ORC5;RAD21;G3BP1;ABL1;HSPA8;DR1;TGFB1;SMAD3;ODF2;HMGA1;CDC7;FOXN3;SQLE;STAG1;UCK2;POLA2;UBE2S;CDK4;BCL3;HNRNPD;H2AX;CDKN1B;NUMA1;SUV39H1;AMD1;CTCF;LMNB1;SYNCRIP;CHAF1A;XPO1;LBR;POLE;TNPO2;UPF1;SS18;ATRX;KIF22;SMC1A;RAD23B;H2BC12;SLC7A5;SFPQ;DBF4;TFDP1;RBL1;INCENP;NUP50;CKS2;MCM3;MCM5;MCM6;TOP1;PAFAH1B1;PRIM2;ODC1;SRSF1;SLC7A1;HIRA;PURA;WRN;KATNA1;NSD2;E2F3;BUB3;E2F4;SRSF10;SLC12A2;CASP8AP2;RPA2;MAPK14;PML;CUL4A
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,68/105,3.4165952437953554e-11,1.8981084687751972e-10,0,0,3.725732427497492,89.78937472656771,ATF1;GSK3B;ARF1;CDKN1B;YWHAB;CLTC;PTEN;PRKAG1;SLC2A1;FASLG;ECSIT;RPTOR;TBK1;PPP2R1B;ARHGDIA;AKT1;MAP3K7;HRAS;AP2M1;PDK1;ACTR3;VAV3;ACTR2;PLA2G12A;PRKCB;TRAF2;IRAK4;LCK;DDIT3;CSNK2B;AKT1S1;TRIB3;RAF1;PLCB1;SQSTM1;CAB39;MAPKAP1;PIK3R3;ITPR2;CXCR4;NOD1;IL2RG;HSP90B1;MAPK9;MAPK8;GRK2;PRKAR2A;MKNK2;THEM4;MAPK1;RIPK1;PLCG1;EIF4E;MAP2K6;SMAD2;STAT2;PTPN11;PPP1CA;PIKFYVE;RIT1;CDK4;ARPC3;UBE2N;PIN1;GRB2;CALR;MYD88;NFKBIB
MSigDB_Hallmark_2020,Mitotic Spindle,111/199,4.165591913777194e-11,2.0827959568885966e-10,0,0,2.56407078906696,61.285337042571385,SMC3;SMC4;PREX1;PPP4R2;KIF5B;ARHGDIA;CDC27;ARFIP2;CEP250;KNTC1;FBXO5;KIFAP3;CDK5RAP2;MAP1S;CSNK1D;TSC1;ACTN4;TUBA4A;CD2AP;BCR;CLIP1;GEMIN4;KIF20B;EZR;LLGL1;ARL8A;VCL;NOTCH2;EPB41;PXN;KLC1;ABR;RHOT2;BCL2L11;KIF3B;ABL1;STK38L;CEP192;MARK4;SPTBN1;TBCD;ARHGAP27;HOOK3;SSH2;DLG1;SASS6;NF1;TUBGCP6;TUBGCP3;CEP57;YWHAE;NUMA1;WASL;ARHGAP5;ARHGAP4;LMNB1;AKAP13;PCM1;CNTRL;NCK2;TLK1;KIF1B;SPTAN1;SUN2;ARHGEF12;PLEKHG2;RFC1;KIF22;SMC1A;DYNLL2;CKAP5;LATS1;ARHGAP10;INCENP;PALLD;RASA1;RASA2;ARHGEF3;MYH9;ARHGEF2;ARHGEF7;SOS1;DOCK2;RAPGEF6;PAFAH1B1;RABGAP1;STAU1;NEDD9;KATNB1;HDAC6;CDC42;KATNA1;FLNA;FLNB;PCNT;PDLIM5;WASF2;CLASP1;ARFGEF1;DYNC1H1;PCGF5;RANBP9;MYO9B;SEPTIN9;MYO1E;NIN;APC;CENPJ;ALMS1;TAOK2;ABI1
